FID,OBJECTID,id,previousId,eventDate,year_,month_,day_,country,countryCod,stateProvi,county,locality,verbatimLo,decimalLat,decimalLon,geodeticDa,scientific_name,kingdom,phylum,class,order_,family,genus,specificEp,taxonRank,scientif_1,vernacular
16,576,URN:catalog:CLO:EBIRD:OBS350728479,Ara militaris,2002-11-05,2002,11,5,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
27,944,URN:catalog:CLO:EBIRD:OBS284760027,Ara militaris,2014-12-09,2014,12,9,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
30,1174,URN:catalog:CLO:EBIRD:OBS754173840,Ara militaris,2019-05-04,2019,5,4,Colombia,CO,La Guajira,Albania,"Montes de Oca, cuenca alta del arroyo Bruno","CO | La Guajira | Montes de Oca, cuenca alta del arroyo Bruno",11.1067,-72.4735,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
53,2618,URN:catalog:CLO:EBIRD:OBS298941568,Ara militaris,2015-02-04,2015,2,4,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
54,2619,URN:catalog:CLO:EBIRD_COL:OBS628459682,Ara militaris,2018-06-05,2018,6,5,Colombia,CO,Cesar,Manaure Balcón del Cesar,"Los Tananeos, Manaure","CO | Cesar | Los Tananeos, Manaure",10.386,-73.0546,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
70,3175,URN:catalog:CLO:EBIRD:OBS298944047,Ara militaris,2015-02-04,2015,2,4,Colombia,CO,Cesar,Valledupar,César--Before main gate of 'Ecoparque los Besotes' (Valledupar),CO | Cesar | César--Before main gate of 'Ecoparque los Besotes' (Valledupar),10.5452,-73.2314,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
76,3534,URN:catalog:CLO:EBIRD:OBS737550305,Ara militaris,2019-04-12,2019,4,12,Colombia,CO,Cesar,Manaure Balcón del Cesar,Villa Adelaida Ecolodge,CO | Cesar | Villa Adelaida Ecolodge,10.3897,-73.0195,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
91,4112,URN:catalog:CLO:EBIRD:OBS575520533,Ara militaris,2017-11-21,2017,11,21,Colombia,CO,La Guajira,Maicao,"Montes De Oca Sendero Road, La Guajira, CO (11,175, -72,371)","CO | La Guajira | Montes De Oca Sendero Road, La Guajira, CO (11,175, -72,371)",11.1748,-72.371,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
95,4252,URN:catalog:CLO:EBIRD:OBS830603834,Ara militaris,2012-07-16,2012,7,16,Colombia,CO,Cesar,Valledupar,"Cesar, CO (10.575, -73.252)","CO | Cesar | Cesar, CO (10.575, -73.252)",10.5745,-73.2522,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
100,4473,URN:catalog:CLO:EBIRD:OBS302592724,Ara militaris,2015-03-10,2015,3,10,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
