FID,OBJECTID,id,previousId,eventDate,year_,month_,day_,country,countryCod,stateProvi,county,locality,verbatimLo,decimalLat,decimalLon,geodeticDa,scientific_name,kingdom,phylum,class,order_,family,genus,specificEp,taxonRank,scientif_1,vernacular
2,58,URN:catalog:CLO:EBIRD:OBS435371740,Brotogeris jugularis,2016-10-09,2016,10,9,Colombia,CO,Cesar,Manaure Balcón del Cesar,Camino Sabana Rubia,CO | Cesar | Camino Sabana Rubia,10.3951,-72.9416,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
4,120,URN:catalog:CLO:EBIRD_CAMERICA:OBS828147441,Brotogeris jugularis,2019-11-15,2019,11,15,Colombia,CO,La Guajira,Albania,"(11.1666,-72.5477)Arroyo Bruno 75-100m","CO | La Guajira | (11.1666,-72.5477)Arroyo Bruno 75-100m",11.1666,-72.5477,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
6,173,URN:catalog:CLO:EBIRD:OBS791576825,Brotogeris jugularis,2019-07-31,2019,7,31,Colombia,CO,La Guajira,Riohacha,"Calle 1 1A-1–1A-99, Riohacha CO-La Guajira (11.5550,-72.9011) Hotel Gimaura","CO | La Guajira | Calle 1 1A-1–1A-99, Riohacha CO-La Guajira (11.5550,-72.9011) Hotel Gimaura",11.555,-72.9011,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
8,284,URN:catalog:CLO:EBIRD:OBS753051185,Brotogeris jugularis,2019-04-30,2019,4,30,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
11,336,URN:catalog:CLO:EBIRD:OBS821047693,Brotogeris jugularis,2019-10-23,2019,10,23,Colombia,CO,Cesar,Valledupar,"(10.5669,-73.2525)","CO | Cesar | (10.5669,-73.2525)",10.5669,-73.2525,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
13,453,URN:catalog:CLO:EBIRD:OBS663980852,Brotogeris jugularis,2018-10-06,2018,10,6,Colombia,CO,Cesar,Manaure Balcón del Cesar,RN Los Tananeos,CO | Cesar | RN Los Tananeos,10.3878,-73.0561,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
14,558,URN:catalog:CLO:EBIRD:OBS868269570,Brotogeris jugularis,2016-11-12,2016,11,12,Colombia,CO,La Guajira,Riohacha,Traveling from Minca to Rioacha,CO | La Guajira | Traveling from Minca to Rioacha,11.5016,-72.9017,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
15,564,URN:catalog:CLO:EBIRD:OBS658860726,Brotogeris jugularis,2018-09-17,2018,9,17,Colombia,CO,Cesar,Manaure Balcón del Cesar,Villa Adelaida Ecolodge,CO | Cesar | Villa Adelaida Ecolodge,10.3897,-73.0195,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
18,605,URN:catalog:CLO:EBIRD:OBS705724908,Brotogeris jugularis,2002-11-09,2002,11,9,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
21,797,URN:catalog:CLO:EBIRD:OBS475374237,Brotogeris jugularis,2017-03-11,2017,3,11,Colombia,CO,La Guajira,Riohacha,CO-La Guajira-Riohacha-312-3148 Carrera 6b - 11.531x-72.901,CO | La Guajira | CO-La Guajira-Riohacha-312-3148 Carrera 6b - 11.531x-72.901,11.5312,-72.901,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
