"","OID","URBAN_CENTER","TYPE_I_ROADS","SLOPE","PROTEC_AREAS","PRECIPITATION","ELEVATION","DRAINS","NDVI"
"1",1,0,8696.1201171875,3.03474307060242,2760.65209960937,68.1666641235352,8,4536.65087890625,0.173012048006058
"2",2,0,4904.70166015625,2.38112592697144,4152.69775390625,69.0833358764648,7,6398.515625,0.247356206178665
"3",3,750.599731445313,5181.66943359375,3.36549162864685,2115.5849609375,66.8333358764648,8,5252.142578125,0.327273994684219
"4",4,2910.61840820312,11261.3544921875,0,0,70,11,991.816528320313,0.189070299267769
"5",5,2744.46704101562,5311.60986328125,3.36532878875732,1476.10974121094,70.8333358764648,17,3710.79516601562,0.15774168074131
"6",6,3237.36010742188,9621.3984375,2.38100790977478,0,72.0833358764648,7,1422.39233398438,0.263129204511642
"7",7,1860.24194335938,19219.326171875,3.46847367286682,0,71.25,12,123.693168640137,0.249615341424942
"8",8,240,20831.841796875,4.75359582901001,0,75,15,300,0.196678459644318
"9",9,5104.05712890625,15905.6875,2.38088250160217,0,70.75,11,60,0.218794643878937
"10",10,1548.70910644531,2563.201171875,0,5700.947265625,66.8333358764648,9,8100.72216796875,0.221287831664085
"11",11,3460.93920898437,4029.95043945313,4.20360469818115,3132.09204101563,73.8333358764649,4,3750.83984375,0.17310194671154
"12",12,3074.67065429688,13937.736328125,2.52504324913025,0,75,5,840.535522460938,0.239839002490044
"13",13,2356.48046875,18826.33203125,0.84216046333313,0,76.5,10,30,0.216001912951469
"14",14,933.380981445313,11565.57421875,33.6457328796387,0,78.5,15,2207.19287109375,0.264436721801758
"15",15,4960.98779296875,5588.13916015625,3.36494636535645,2798.85693359375,73.75,8,2254.99438476562,0.181508481502533
"16",16,3612.47827148437,2115.5849609375,5.31126213073731,7749.35498046875,78.75,4,9524.94140625,0.193196460604668
"17",17,3987.74365234375,3289.7568359375,2.52494764328003,4252.17578125,68.1666641235352,5,4431.580078125,0.181071102619171
"18",18,2970.60595703125,787.464294433594,1.8825421333313,6144.1435546875,71.1666641235352,11,7290.49365234375,0.17361581325531
"19",19,1590,8894.6328125,7.71761655807495,1302.49755859375,69.1666641235352,13,445.982055664063,0.231299206614494
"20",20,4025.4814453125,2441.82299804687,0.842126667499542,8246.9453125,78.75,7,9987.4775390625,0.197859287261963
"21",21,4689.60546875,3453.65014648437,2.66126132011414,9298.3544921875,70.0833358764649,5,10072.5869140625,0.17036472260952
"22",22,4148.361328125,967.470947265625,0.842100918292999,6400.6953125,73.1666641235352,16,6920.64306640625,0.167280942201614
"23",23,3946.56811523437,18125.5859375,0,0,72.5833358764649,10,1566.04602050781,0.191790461540222
"24",24,4794.93505859375,15578.3505859375,4.20321130752564,0,68.8333358764649,7,2206.17309570313,0.192541852593422
"25",25,6195.56298828125,4389.85205078125,0,5418.05322265625,69,14,3999.125,0.19969080388546
"26",26,5554.45751953125,2995.49658203125,0,9877.4287109375,71.6666641235352,10,9204.5751953125,0.155174314975739
"27",27,5794.3505859375,1023.962890625,2.38045620918274,7812.27880859375,72.1666641235352,20,7464.45556640625,0.188380673527718
"28",28,4247.94091796875,21723.189453125,7.10875511169434,0,70.75,15,1839.80981445312,0.195033386349678
"29",29,2982.0966796875,8927.306640625,5.31067132949829,3453.25927734375,71.5,4,42.4264068603516,0.195039868354797
"30",30,2922.4990234375,11760.0380859375,0.842026352882385,2586.271484375,82,4,2743.31909179687,0.156852453947067
"31",31,6908.08203125,1920.234375,2.38037085533142,10331.0263671875,73.0833358764648,10,7620.94482421875,0.156409695744514
"32",32,7173.2001953125,26243.021484375,3.36439037322998,0,70.75,18,2233.94262695312,0.275186270475388
"33",33,5623.5400390625,20769.44921875,3.36433362960815,0,74.5833358764648,15,3244.71875,0.22900827229023
"34",34,8012.41552734375,3047.91723632812,0,11646.9951171875,78.25,6,6776.8134765625,0.143221646547318
"35",35,8338.4892578125,3270,4.20258855819702,8358.8095703125,79.4166641235352,6,4860.0927734375,0.202427327632904
